CAUSTIC-CHLORINE         
NONE
 0.00000000E+00 0.00000000E+00  0
 X3J   Y3    0.11000000E+01
 X3J   XJ    0.10000000E+01
 X4A   COST  0.48520000E+00
 X4A   X4    0.10000000E+01
 X4A   Y4    0.11000000E+01
 X4A   XA    0.10000000E+01
 X4C   COST  0.48520000E+00
 X4C   X4    0.10000000E+01
 X4C   Y4    0.11000000E+01
 X4C   XC    0.10000000E+01
 X4D   COST  0.48520000E+00
 X4D   X4    0.10000000E+01
 X4D   Y4    0.11000000E+01
 X4D   XD    0.10000000E+01
 X4E   COST  0.48520000E+00
 X4E   X4    0.10000000E+01
 X4E   Y4    0.11000000E+01
 X4E   XE    0.10000000E+01
 X4F   COST  0.48520000E+00
 X4F   X4    0.10000000E+01
 X4F   Y4    0.11000000E+01
 X4F   XF    0.10000000E+01
 X4H   COST  0.48520000E+00
 X4H   X4    0.10000000E+01
 X4H   Y4    0.11000000E+01
 X4H   XH    0.10000000E+01
 X4I   COST  0.48520000E+00
 X4I   X4    0.10000000E+01
 X4I   Y4    0.11000000E+01
 X4I   XI    0.10000000E+01
 X4J   COST  0.48520000E+00
 X4J   X4    0.10000000E+01
 X4J   Y4    0.11000000E+01
 X4J   XJ    0.10000000E+01
 X5A   COST  0.49630000E+00
 X5A   X5    0.10000000E+01
 X5A   Y5    0.11000000E+01
 X5A   XA    0.10000000E+01
 X5C   COST  0.49630000E+00
 X5C   X5    0.10000000E+01
 X5C   Y5    0.11000000E+01
 X5C   XC    0.10000000E+01
 X5D   COST  0.49630000E+00
 X5D   X5    0.10000000E+01
 X5D   Y5    0.11000000E+01
 X5D   XD    0.10000000E+01
 X5E   COST  0.49630000E+00
 X5E   X5    0.10000000E+01
 X5E   Y5    0.11000000E+01
 X5E   XE    0.10000000E+01
 X5F   COST  0.49630000E+00
 X5F   X5    0.10000000E+01
 X5F   Y5    0.11000000E+01
 X5F   XF    0.10000000E+01
 X5H   COST  0.49630000E+00
 X5H   X5    0.10000000E+01
 X5H   Y5    0.11000000E+01
 X5H   XH    0.10000000E+01
 X5I   COST  0.49630000E+00
 X5I   X5    0.10000000E+01
 X5I   Y5    0.11000000E+01
 X5I   XI    0.10000000E+01
 X5J   COST  0.49630000E+00
 X5J   X5    0.10000000E+01
 X5J   Y5    0.11000000E+01
 X5J   XJ    0.10000000E+01
 X6D   COST  0.48570000E+00
 X6D   X6    0.10000000E+01
 X6D   XD    0.10000000E+01
 X7B   COST  0.58920000E+00
 X7B   X7    0.10000000E+01
 X7B   XB    0.10000000E+01
 X7E   COST  0.51700000E+00
 X7E   X7    0.10000000E+01
 X7E   XE    0.10000000E+01
 X7G   COST  0.59230000E+00
 X7G   X7    0.10000000E+01
 X7G   XG    0.10000000E+01
 Y1A   COST  0.44760000E+00
 Y1A   Y1   -0.10000000E+01
 Y1A   ZA    0.10000000E+01
 Y1C   COST  0.44760000E+00
 Y1C   Y1   -0.10000000E+01
 Y1C   ZC    0.10000000E+01
 Y1D   COST  0.44760000E+00
 Y1D   Y1   -0.10000000E+01
 Y1D   ZD    0.10000000E+01
 Y1E   COST  0.44760000E+00
 Y1E   Y1   -0.10000000E+01
 Y1E   ZE    0.10000000E+01
 Y1F   COST  0.44760000E+00
 Y1F   Y1   -0.10000000E+01
 Y1F   ZF    0.10000000E+01
 Y1F   Z1FM  0.10000000E+01
 Y1H   COST  0.44760000E+00
 Y1H   Y1   -0.10000000E+01
 Y1H   ZH    0.10000000E+01
 Y1H   Z1HM  0.10000000E+01
 Y1I   COST  0.44760000E+00
 Y1I   Y1   -0.10000000E+01
 Y1I   ZI    0.10000000E+01
 Y1J   COST  0.44760000E+00
 Y1J   Y1   -0.10000000E+01
 Y1J   ZJ    0.10000000E+01
 Y1J   Z1JM  0.10000000E+01
 Y1K   COST  0.44760000E+00
 Y1K   Y1   -0.10000000E+01
 Y1K   ZK    0.10000000E+01
 Y2A   COST  0.40990000E+00
 Y2A   Y2   -0.10000000E+01
 Y2A   ZA    0.10000000E+01
 Y2C   COST  0.40990000E+00
 Y2C   Y2   -0.10000000E+01
 Y2C   ZC    0.10000000E+01
 Y2D   COST  0.40990000E+00
 Y2D   Y2   -0.10000000E+01
 Y2D   ZD    0.10000000E+01
 Y2E   COST  0.40990000E+00
 Y2E   Y2   -0.10000000E+01
 Y2E   ZE    0.10000000E+01
 Y2F   COST  0.40990000E+00
 Y2F   Y2   -0.10000000E+01
 Y2F   ZF    0.10000000E+01
 Y2H   COST  0.40990000E+00
 Y2H   Y2   -0.10000000E+01
 Y2H   ZH    0.10000000E+01
 Y2I   COST  0.40990000E+00
 Y2I   Y2   -0.10000000E+01
 Y2I   ZI    0.10000000E+01
 Y2J   COST  0.40990000E+00
 Y2J   Y2   -0.10000000E+01
 Y2J   ZJ    0.10000000E+01
 Y2K   COST  0.40990000E+00
 Y2K   Y2   -0.10000000E+01
 Y2K   ZK    0.10000000E+01
 Y3A   COST  0.48920000E+00
 Y3A   Y3   -0.10000000E+01
 Y3A   ZA    0.10000000E+01
 Y3B   COST  0.70500000E+00
 Y3B   Y3   -0.10000000E+01
 Y3B   ZB    0.10000000E+01
 Y3C   COST  0.44220000E+00
 Y3C   Y3   -0.10000000E+01
 Y3C   ZC    0.10000000E+01
 Y3D   COST  0.44200000E+00
 Y3D   Y3   -0.10000000E+01
 Y3D   ZD    0.10000000E+01
 Y3E   COST  0.42000000E+00
 Y3E   Y3   -0.10000000E+01
 Y3E   ZE    0.10000000E+01
 Y3F   COST  0.41060000E+00
 Y3F   Y3   -0.10000000E+01
 Y3F   ZF    0.10000000E+01
 Y3G   COST  0.54240000E+00
 Y3G   Y3   -0.10000000E+01
 Y3G   ZG    0.10000000E+01
 Y3H   COST  0.48920000E+00
 Y3H   Y3   -0.10000000E+01
 Y3H   ZH    0.10000000E+01
 Y3I   COST  0.49760000E+00
 Y3I   Y3   -0.10000000E+01
 Y3I   ZI    0.10000000E+01
 Y3J   COST  0.48920000E+00
 Y3J   Y3   -0.10000000E+01
 Y3J   ZJ    0.10000000E+01
 Y3K   COST  0.48760000E+00
 Y3K   Y3   -0.10000000E+01
 Y3K   ZK    0.10000000E+01
 Y4A   COST  0.45930000E+00
 Y4A   Y4   -0.10000000E+01
 Y4A   ZA    0.10000000E+01
 Y4C   COST  0.45930000E+00
 Y4C   Y4   -0.10000000E+01
 Y4C   ZC    0.10000000E+01
 Y4D   COST  0.45930000E+00
 Y4D   Y4   -0.10000000E+01
 Y4D   ZD    0.10000000E+01
 Y4E   COST  0.45930000E+00
 Y4E   Y4   -0.10000000E+01
 Y4E   ZE    0.10000000E+01
 Y4F   COST  0.45930000E+00
 Y4F   Y4   -0.10000000E+01
 Y4F   ZF    0.10000000E+01
 Y4H   COST  0.45930000E+00
 Y4H   Y4   -0.10000000E+01
 Y4H   ZH    0.10000000E+01
 Y4I   COST  0.45930000E+00
 Y4I   Y4   -0.10000000E+01
 Y4I   ZI    0.10000000E+01
 Y4J   COST  0.45930000E+00
 Y4J   Y4   -0.10000000E+01
 Y4J   ZJ    0.10000000E+01
 Y4K   COST  0.45930000E+00
 Y4K   Y4   -0.10000000E+01
 Y4K   ZK    0.10000000E+01
 Y5A   COST  0.45790000E+00
 Y5A   Y5   -0.10000000E+01
 Y5A   ZA    0.10000000E+01
 Y5C   COST  0.45790000E+00
 Y5C   Y5   -0.10000000E+01
 Y5C   ZC    0.10000000E+01
 Y5D   COST  0.45790000E+00
 Y5D   Y5   -0.10000000E+01
 Y5D   ZD    0.10000000E+01
 Y5E   COST  0.45790000E+00
 Y5E   Y5   -0.10000000E+01
 Y5E   ZE    0.10000000E+01
 Y5F   COST  0.45790000E+00
 Y5F   Y5   -0.10000000E+01
 Y5F   ZF    0.10000000E+01
 Y5H   COST  0.45790000E+00
 Y5H   Y5   -0.10000000E+01
 Y5H   ZH    0.10000000E+01
 Y5I   COST  0.45790000E+00
 Y5I   Y5   -0.10000000E+01
 Y5I   ZI    0.10000000E+01
 Y5J   COST  0.45790000E+00
 Y5J   Y5   -0.10000000E+01
 Y5J   ZJ    0.10000000E+01
 Y5K   COST  0.45790000E+00
 Y5K   Y5   -0.10000000E+01
 Y5K   ZK    0.10000000E+01
 Z1A   COST  0.68700000E+00
 Z1A   Z1    0.10000000E+01
 Z1A   ZA    0.10000000E+01
 Z1C   COST  0.68700000E+00
 Z1C   Z1    0.10000000E+01
 Z1C   ZC    0.10000000E+01
 Z1D   COST  0.68700000E+00
 Z1D   Z1    0.10000000E+01
 Z1D   ZD    0.10000000E+01
 Z1E   COST  0.68700000E+00
 Z1E   Z1    0.10000000E+01
 Z1E   ZE    0.10000000E+01
 Z1F   COST  0.68700000E+00
 Z1F   Z1    0.10000000E+01
 Z1F   ZF    0.10000000E+01
 Z1F   Z1FM  0.10000000E+01
 Z1H   COST  0.68700000E+00
 Z1H   Z1    0.10000000E+01
 Z1H   ZH    0.10000000E+01
 Z1H   Z1HM  0.10000000E+01
 Z1I   COST  0.68700000E+00
 Z1I   Z1    0.10000000E+01
 Z1I   ZI    0.10000000E+01
 Z1J   COST  0.68700000E+00
 Z1J   Z1    0.10000000E+01
 Z1J   ZJ    0.10000000E+01
 Z1K   COST  0.68700000E+00
 Z1K   Z1    0.10000000E+01
 Z1K   ZK    0.10000000E+01
 Z2A   COST  0.54150000E+00
 Z2A   Z2    0.10000000E+01
 Z2A   ZA    0.10000000E+01
 Z2B   COST  0.75730000E+00
 Z2B   Z2    0.10000000E+01
 Z2B   ZB    0.10000000E+01
 Z2C   COST  0.49450000E+00
 Z2C   Z2    0.10000000E+01
 Z2C   ZC    0.10000000E+01
 Z2D   COST  0.49430000E+00
 Z2D   Z2    0.10000000E+01
 Z2D   ZD    0.10000000E+01
 Z2E   COST  0.47230000E+00
 Z2E   Z2    0.10000000E+01
 Z2E   ZE    0.10000000E+01
 Z2F   COST  0.46290000E+00
 Z2F   Z2    0.10000000E+01
 Z2F   ZF    0.10000000E+01
 Z2G   COST  0.59470000E+00
 Z2G   Z2    0.10000000E+01
 Z2G   ZG    0.10000000E+01
 Z2H   COST  0.54150000E+00
 Z2H   Z2    0.10000000E+01
 Z2H   ZH    0.10000000E+01
 Z2I   COST  0.54990000E+00
 Z2I   Z2    0.10000000E+01
 Z2I   ZI    0.10000000E+01
 Z2J   COST  0.54150000E+00
 Z2J   Z2    0.10000000E+01
 Z2J   ZJ    0.10000000E+01
 Z2K   COST  0.53990000E+00
 Z2K   Z2    0.10000000E+01
 Z2K   ZK    0.10000000E+01
 Z3A   COST  0.55220000E+00
 Z3A   Z3    0.10000000E+01
 Z3A   ZA    0.10000000E+01
 Z3B   COST  0.76800000E+00
 Z3B   Z3    0.10000000E+01
 Z3B   ZB    0.10000000E+01
 Z3C   COST  0.50520000E+00
 Z3C   Z3    0.10000000E+01
 Z3C   ZC    0.10000000E+01
 Z3D   COST  0.50500000E+00
 Z3D   Z3    0.10000000E+01
 Z3D   ZD    0.10000000E+01
 Z3E   COST  0.48300000E+00
 Z3E   Z3    0.10000000E+01
 Z3E   ZE    0.10000000E+01
 Z3F   COST  0.47360000E+00
 Z3F   Z3    0.10000000E+01
 Z3F   ZF    0.10000000E+01
 Z3G   COST  0.60540000E+00
 Z3G   Z3    0.10000000E+01
 Z3G   ZG    0.10000000E+01
 Z3H   COST  0.55220000E+00
 Z3H   Z3    0.10000000E+01
 Z3H   ZH    0.10000000E+01
 Z3I   COST  0.56060000E+00
 Z3I   Z3    0.10000000E+01
 Z3I   ZI    0.10000000E+01
 Z3J   COST  0.55220000E+00
 Z3J   Z3    0.10000000E+01
 Z3J   ZJ    0.10000000E+01
 Z3K   COST  0.55060000E+00
 Z3K   Z3    0.10000000E+01
 Z3K   ZK    0.10000000E+01
 Z4A   COST  0.58220000E+00
 Z4A   Z4    0.10000000E+01
 Z4A   ZA    0.10000000E+01
 Z4B   COST  0.73800000E+00
 Z4B   Z4    0.10000000E+01
 Z4B   ZB    0.10000000E+01
 Z4C   COST  0.56520000E+00
 Z4C   Z4    0.10000000E+01
 Z4C   ZC    0.10000000E+01
 Z4D   COST  0.61120000E+00
 Z4D   Z4    0.10000000E+01
 Z4D   ZD    0.10000000E+01
 Z4E   COST  0.61120000E+00
 Z4E   Z4    0.10000000E+01
 Z4E   ZE    0.10000000E+01
 Z4F   COST  0.53600000E+00
 Z4F   Z4    0.10000000E+01
 Z4F   ZF    0.10000000E+01
 Z4G   COST  0.67580000E+00
 Z4G   Z4    0.10000000E+01
 Z4G   ZG    0.10000000E+01
 Z4H   COST  0.58220000E+00
 Z4H   Z4    0.10000000E+01
 Z4H   ZH    0.10000000E+01
 Z4I   COST  0.59060000E+00
 Z4I   Z4    0.10000000E+01
 Z4I   ZI    0.10000000E+01
 Z4J   COST  0.58220000E+00
 Z4J   Z4    0.10000000E+01
 Z4J   ZJ    0.10000000E+01
 Z4K   COST  0.59700000E+00
 Z4K   Z4    0.10000000E+01
 Z4K   ZK    0.10000000E+01
 Z5A   COST  0.63220000E+00
 Z5A   Z5    0.10000000E+01
 Z5A   ZA    0.10000000E+01
 Z5B   COST  0.76520000E+00
 Z5B   Z5    0.10000000E+01
 Z5B   ZB    0.10000000E+01
 Z5C   COST  0.58520000E+00
 Z5C   Z5    0.10000000E+01
 Z5C   ZC    0.10000000E+01
 Z5D   COST  0.62340000E+00
 Z5D   Z5    0.10000000E+01
 Z5D   ZD    0.10000000E+01
 Z5E   COST  0.60100000E+00
 Z5E   Z5    0.10000000E+01
 Z5E   ZE    0.10000000E+01
 Z5F   COST  0.55760000E+00
 Z5F   Z5    0.10000000E+01
 Z5F   ZF    0.10000000E+01
 Z5G   COST  0.70180000E+00
 Z5G   Z5    0.10000000E+01
 Z5G   ZG    0.10000000E+01
 Z5H   COST  0.63220000E+00
 Z5H   Z5    0.10000000E+01
 Z5H   ZH    0.10000000E+01
 Z5I   COST  0.64060000E+00
 Z5I   Z5    0.10000000E+01
 Z5I   ZI    0.10000000E+01
 Z5J   COST  0.63220000E+00
 Z5J   Z5    0.10000000E+01
 Z5J   ZJ    0.10000000E+01
 Z5K   COST  0.58500000E+00
 Z5K   Z5    0.10000000E+01
 Z5K   ZK    0.10000000E+01
 Z6D   COST  0.43630000E+00
 Z6D   Z6    0.10000000E+01
 Z6D   ZD    0.10000000E+01
 Z7B   COST  0.57100000E+00
 Z7B   Z7    0.10000000E+01
 Z7B   ZB    0.10000000E+01
 Z7E   COST  0.43780000E+00
 Z7E   Z7    0.10000000E+01
 Z7E   ZE    0.10000000E+01
 Z7G   COST  0.54260000E+00
 Z7G   Z7    0.10000000E+01
 Z7G   ZG    0.10000000E+01
 Z8A   COST  0.58720000E+00
 Z8A   Z8    0.10000000E+01
 Z8A   ZA    0.10000000E+01
 Z8B   COST  0.72020000E+00
 Z8B   Z8    0.10000000E+01
 Z8B   ZB    0.10000000E+01
 Z8C   COST  0.54020000E+00
 Z8C   Z8    0.10000000E+01
 Z8C   ZC    0.10000000E+01
 Z8D   COST  0.61620000E+00
 Z8D   Z8    0.10000000E+01
 Z8D   ZD    0.10000000E+01
 Z8E   COST  0.55600000E+00
 Z8E   Z8    0.10000000E+01
 Z8E   ZE    0.10000000E+01
 Z8F   COST  0.50260000E+00
 Z8F   Z8    0.10000000E+01
 Z8F   ZF    0.10000000E+01
 Z8G   COST  0.65680000E+00
 Z8G   Z8    0.10000000E+01
 Z8G   ZG    0.10000000E+01
 Z8H   COST  0.58720000E+00
 Z8H   Z8    0.10000000E+01
 Z8H   ZH    0.10000000E+01
 Z8I   COST  0.59560000E+00
 Z8I   Z8    0.10000000E+01
 Z8I   ZI    0.10000000E+01
 Z8J   COST  0.58720000E+00
 Z8J   Z8    0.10000000E+01
 Z8J   ZJ    0.10000000E+01
 Z8K   COST  0.54000000E+00
 Z8K   Z8    0.10000000E+01
 Z8K   ZK    0.10000000E+01
S
END
